"Cluster","Mutation_Level","Copy_Number_Alteration","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1_8.AMP","1_8","AMP","BP","GO:0045787","positive regulation of cell cycle","11/146","373/17913",0.00024547437002412,0.00293125498286094,0.00190924483857977,"CCND3/CDC42/CDK2/CDKN1B/EIF4E/EIF4EBP1/GADD45A/HMGA2/IL10/PCNA/SOX4",11
"1_8.AMP","1_8","AMP","BP","GO:0002573","myeloid leukocyte differentiation","8/146","201/17913",0.000245694824925433,0.00293125498286094,0.00190924483857977,"CDC42/CDK6/CEBPB/CTNNBIP1/FADD/GLO1/JUN/TNF",8
"1_8.AMP","1_8","AMP","BP","GO:0031110","regulation of microtubule polymerization or depolymerization","5/146","69/17913",0.000248139638629749,0.00293125498286094,0.00190924483857977,"CDKN1B/FKBP4/HSPA1A/RPS3/STMN1",5
"1_8.AMP","1_8","AMP","BP","GO:0033077","T cell differentiation in thymus","5/146","69/17913",0.000248139638629749,0.00293125498286094,0.00190924483857977,"ATG5/BCL2/CDK6/FADD/RPS6",5
"1_8.AMP","1_8","AMP","BP","GO:0048662","negative regulation of smooth muscle cell proliferation","5/146","69/17913",0.000248139638629749,0.00293125498286094,0.00190924483857977,"CDKN1B/CTNNBIP1/HMOX1/IL10/SOD2",5
"1_8.AMP","1_8","AMP","BP","GO:0060562","epithelial tube morphogenesis","10/146","313/17913",0.000250463932778548,0.00293705046185495,0.00191301966827596,"BCL2/CTHRC1/CTNNBIP1/GNA13/HOXB7/RHOB/SKI/SOX4/TNF/TWIST1",10
"1_8.AMP","1_8","AMP","BP","GO:1902903","regulation of supramolecular fiber organization","10/146","313/17913",0.000250463932778548,0.00293705046185495,0.00191301966827596,"ARF6/CDC42/CDKN1B/FKBP4/HSPA1A/ID1/PARK7/PYCARD/RPS3/STMN1",10
"1_8.AMP","1_8","AMP","BP","GO:0042769","DNA damage response, detection of DNA damage","4/146","38/17913",0.000252012967933422,0.00293705046185495,0.00191301966827596,"HMGA2/PCNA/RPS3/SOX4",4
"1_8.AMP","1_8","AMP","BP","GO:1902042","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","4/146","38/17913",0.000252012967933422,0.00293705046185495,0.00191301966827596,"BCL2L1/FADD/HMOX1/PARK7",4
"1_8.AMP","1_8","AMP","BP","GO:0050714","positive regulation of protein secretion","9/146","256/17913",0.000254751779335049,0.00295052428255771,0.00192179571225136,"ARF6/BAD/HMGB1/IL10/PSMD9/PYCARD/SOX4/TNF/TWIST1",9
"1_8.AMP","1_8","AMP","BP","GO:0045047","protein targeting to ER","6/146","108/17913",0.00025571776822628,0.00295052428255771,0.00192179571225136,"RPL23A/RPL8/RPS27/RPS3/RPS6/RPSA",6
"1_8.AMP","1_8","AMP","BP","GO:0071156","regulation of cell cycle arrest","6/146","108/17913",0.00025571776822628,0.00295052428255771,0.00192179571225136,"CDK2/CDKN1B/GADD45A/HMGA2/PCNA/SOX4",6
"1_8.AMP","1_8","AMP","BP","GO:0051091","positive regulation of DNA-binding transcription factor activity","9/146","257/17913",0.000262192794367025,0.00301521713522079,0.00196393278178717,"CAV1/FLOT2/HSPA1A/IL10/PARK7/PYCARD/RPS3/TNF/TRIM13",9
"1_8.AMP","1_8","AMP","BP","GO:0002739","regulation of cytokine secretion involved in immune response","3/146","16/17913",0.000274790719015771,0.00314966391795965,0.00205150340512382,"ATG5/IL10/TNF",3
"1_8.AMP","1_8","AMP","BP","GO:0032874","positive regulation of stress-activated MAPK cascade","7/146","155/17913",0.000281628934665277,0.00321742529635693,0.00209563912948643,"ARL6IP5/GADD45A/HMGB1/PYCARD/RPS3/SDCBP/TNF",7
"1_8.AMP","1_8","AMP","BP","GO:0070304","positive regulation of stress-activated protein kinase signaling cascade","7/146","156/17913",0.000292878036809891,0.00333496859619919,0.0021721998312492,"ARL6IP5/GADD45A/HMGB1/PYCARD/RPS3/SDCBP/TNF",7
"1_8.AMP","1_8","AMP","BP","GO:1904019","epithelial cell apoptotic process","6/146","111/17913",0.000296603264101435,0.00336635011838001,0.00219263988494663,"ARF6/BAD/BCL2L1/HMOX1/IL10/TNF",6
"1_8.AMP","1_8","AMP","BP","GO:0010498","proteasomal protein catabolic process","11/146","382/17913",0.000300896209822385,0.00340394963098744,0.00221712996711231,"CAMLG/CAV1/CDK2/HSPA1A/PARK7/PBK/PSMB9/PSMD9/RYBP/SDCBP/TRIM13",11
"1_8.AMP","1_8","AMP","BP","GO:0006282","regulation of DNA repair","6/146","112/17913",0.000311314725316042,0.00349901631398904,0.00227905073992224,"HMGA2/HMGB1/PCNA/RPS3/TERF2/TWIST1",6
"1_8.AMP","1_8","AMP","BP","GO:0072599","establishment of protein localization to endoplasmic reticulum","6/146","112/17913",0.000311314725316042,0.00349901631398904,0.00227905073992224,"RPL23A/RPL8/RPS27/RPS3/RPS6/RPSA",6
"1_8.AMP","1_8","AMP","BP","GO:0043488","regulation of mRNA stability","7/146","158/17913",0.000316459757734525,0.00354537012455485,0.00230924285015787,"HNRNPD/HSPA1A/HSPB1/PSMB9/PSMD9/SET/YBX1",7
"1_8.AMP","1_8","AMP","BP","GO:0072401","signal transduction involved in DNA integrity checkpoint","5/146","73/17913",0.000323105476046676,0.00359661960996829,0.00234262371128309,"CDK2/CDKN1B/GADD45A/PCNA/SOX4",5
"1_8.AMP","1_8","AMP","BP","GO:0072422","signal transduction involved in DNA damage checkpoint","5/146","73/17913",0.000323105476046676,0.00359661960996829,0.00234262371128309,"CDK2/CDKN1B/GADD45A/PCNA/SOX4",5
"1_8.AMP","1_8","AMP","BP","GO:0051817","modification of morphology or physiology of other organism involved in symbiotic interaction","6/146","113/17913",0.00032659252974961,0.00362382062562427,0.00236034083212346,"BAD/BCL2L1/CALM2/HMGA2/JUN/TYMS",6
"1_8.AMP","1_8","AMP","BP","GO:0045861","negative regulation of proteolysis","10/146","324/17913",0.000329610702463425,0.00364539358469976,0.00237439217225204,"BIRC5/BST2/CAMLG/CD59/IL10/PARK7/PBK/PEBP1/RYBP/SDCBP",10
"1_8.AMP","1_8","AMP","BP","GO:2000757","negative regulation of peptidyl-lysine acetylation","3/146","17/17913",0.00033168568176364,0.00364539358469976,0.00237439217225204,"ATG5/SET/TWIST1",3
"1_8.AMP","1_8","AMP","BP","GO:2000811","negative regulation of anoikis","3/146","17/17913",0.00033168568176364,0.00364539358469976,0.00237439217225204,"BCL2/CAV1/SNAI2",3
"1_8.AMP","1_8","AMP","BP","GO:0072594","establishment of protein localization to organelle","12/146","452/17913",0.000335403763593639,0.00367462861501801,0.00239343412904775,"AMACR/BAD/BCL2/HTRA2/RAB7A/RPL23A/RPL8/RPS27/RPS3/RPS6/RPSA/TERF1",12
"1_8.AMP","1_8","AMP","BP","GO:0031057","negative regulation of histone modification","4/146","41/17913",0.00033926132043076,0.00368204551830009,0.0023982650579135,"ATG5/SET/SKI/TWIST1",4
"1_8.AMP","1_8","AMP","BP","GO:0050798","activated T cell proliferation","4/146","41/17913",0.00033926132043076,0.00368204551830009,0.0023982650579135,"FADD/HMGB1/PYCARD/RPS3",4
"1_8.AMP","1_8","AMP","BP","GO:1904706","negative regulation of vascular smooth muscle cell proliferation","4/146","41/17913",0.00033926132043076,0.00368204551830009,0.0023982650579135,"CDKN1B/HMOX1/IL10/SOD2",4
"1_8.AMP","1_8","AMP","BP","GO:0046902","regulation of mitochondrial membrane permeability","5/146","74/17913",0.000344268637651093,0.00371318316323679,0.00241854626450539,"BAD/BAK1/BCL2/BCL2L1/HSPA1A",5
"1_8.AMP","1_8","AMP","BP","GO:0072395","signal transduction involved in cell cycle checkpoint","5/146","74/17913",0.000344268637651093,0.00371318316323679,0.00241854626450539,"CDK2/CDKN1B/GADD45A/PCNA/SOX4",5
"1_8.AMP","1_8","AMP","BP","GO:0010822","positive regulation of mitochondrion organization","6/146","115/17913",0.000358908327742689,0.00385909790170389,0.00251358643089144,"BAD/BAK1/BCL2/HTRA2/PARK7/PYCARD",6
"1_8.AMP","1_8","AMP","BP","GO:1903201","regulation of oxidative stress-induced cell death","5/146","75/17913",0.000366464289971088,0.00392818049095552,0.00255858271328092,"HSPB1/HTRA2/IL10/PARK7/SOD2",5
"1_8.AMP","1_8","AMP","BP","GO:0009896","positive regulation of catabolic process","11/146","392/17913",0.000374513989008266,0.0040021141040791,0.00260673866357494,"BAD/CAV1/CDKN1B/HMOX1/HNRNPD/HSPA1A/PARK7/RAB7A/TNF/TRIM13/TWIST1",11
"1_8.AMP","1_8","AMP","BP","GO:0022612","gland morphogenesis","6/146","116/17913",0.000375977428952984,0.00400542825384575,0.0026088973032611,"BCL2/CAV1/CEBPB/SNAI2/TNF/TWSG1",6
"1_8.AMP","1_8","AMP","BP","GO:0043487","regulation of RNA stability","7/146","163/17913",0.00038213281478088,0.00405855432946176,0.00264350046342865,"HNRNPD/HSPA1A/HSPB1/PSMB9/PSMD9/SET/YBX1",7
"1_8.AMP","1_8","AMP","BP","GO:0002761","regulation of myeloid leukocyte differentiation","6/146","117/17913",0.000393675086230044,0.00416839504413702,0.00271504416016805,"CDK6/CEBPB/CTNNBIP1/FADD/JUN/TNF",6
"1_8.AMP","1_8","AMP","BP","GO:0031018","endocrine pancreas development","4/146","43/17913",0.000408247933255594,0.0042706176873394,0.00278162589906871,"BAD/BAK1/CDK6/SOX4",4
"1_8.AMP","1_8","AMP","BP","GO:0035094","response to nicotine","4/146","43/17913",0.000408247933255594,0.0042706176873394,0.00278162589906871,"BAD/BCL2/HMOX1/TNF",4
"1_8.AMP","1_8","AMP","BP","GO:0050850","positive regulation of calcium-mediated signaling","4/146","43/17913",0.000408247933255594,0.0042706176873394,0.00278162589906871,"CALM2/GSTM2/HINT1/TNF",4
"1_8.AMP","1_8","AMP","BP","GO:1901028","regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","4/146","43/17913",0.000408247933255594,0.0042706176873394,0.00278162589906871,"BAD/BAK1/BCL2/HSPA1A",4
"1_8.AMP","1_8","AMP","BP","GO:1902275","regulation of chromatin organization","7/146","165/17913",0.000411274767457396,0.0042842405561689,0.00279049902411292,"ATG5/ING2/PHF19/SET/SKI/SNAI2/TWIST1",7
"1_8.AMP","1_8","AMP","BP","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","6/146","118/17913",0.000412017375686845,0.0042842405561689,0.00279049902411292,"RPL23A/RPL8/RPS27/RPS3/RPS6/RPSA",6
"1_8.AMP","1_8","AMP","BP","GO:0071260","cellular response to mechanical stimulus","5/146","77/17913",0.000414084030731688,0.00429287713054076,0.0027961243740531,"BAD/BAK1/FADD/GADD45A/MAP3K14",5
"1_8.AMP","1_8","AMP","BP","GO:0002793","positive regulation of peptide secretion","9/146","275/17913",0.000430236099787383,0.00444705349571899,0.00289654567181418,"ARF6/BAD/HMGB1/IL10/PSMD9/PYCARD/SOX4/TNF/TWIST1",9
"1_8.AMP","1_8","AMP","BP","GO:0007264","small GTPase mediated signal transduction","12/146","465/17913",0.000432532776198168,0.00445752620693246,0.00290336697188775,"ARF6/CDC42/CDK2/GNA13/HMOX1/JUN/PARK7/RAB38/RAP1B/RASSF1/RHOB/STMN1",12
"1_8.AMP","1_8","AMP","BP","GO:0042590","antigen processing and presentation of exogenous peptide antigen via MHC class I","5/146","78/17913",0.000439574608585848,0.00450336987915622,0.00293322680840369,"HLA-C/IFI30/PSMB9/PSMD9/TAPBP",5
"1_8.AMP","1_8","AMP","BP","GO:0007005","mitochondrion organization","12/146","466/17913",0.000440899603802577,0.00450336987915622,0.00293322680840369,"BAD/BAK1/BCL2/BCL2L1/HSPA1A/HTRA2/JUN/NDUFS6/PARK7/PYCARD/RAB38/SOD2",12
"1_8.AMP","1_8","AMP","BP","GO:0006612","protein targeting to membrane","7/146","167/17913",0.000442167903481794,0.00450336987915622,0.00293322680840369,"RPL23A/RPL8/RPS27/RPS3/RPS6/RPSA/SDCBP",7
"1_8.AMP","1_8","AMP","BP","GO:0061136","regulation of proteasomal protein catabolic process","7/146","167/17913",0.000442167903481794,0.00450336987915622,0.00293322680840369,"CAMLG/CAV1/HSPA1A/PARK7/PBK/RYBP/SDCBP",7
"1_8.AMP","1_8","AMP","BP","GO:0002437","inflammatory response to antigenic stimulus","4/146","44/17913",0.000446249469175694,0.00453165031124908,0.0029516469967946,"HMGB1/IL10/PARK7/TNF",4
"1_8.AMP","1_8","AMP","BP","GO:0032872","regulation of stress-activated MAPK cascade","8/146","220/17913",0.000450188527923713,0.0045583229081022,0.00296901993711235,"ARL6IP5/GADD45A/HMGB1/PBK/PYCARD/RPS3/SDCBP/TNF",8
"1_8.AMP","1_8","AMP","BP","GO:0034330","cell junction organization","9/146","277/17913",0.000453418490949406,0.00457768145077699,0.00298162893834233,"ARF6/BCL2/CAV1/CD151/CDC42/PVR/RAP1B/SNAI2/TNF",9
"1_8.AMP","1_8","AMP","BP","GO:0010523","negative regulation of calcium ion transport into cytosol","3/146","19/17913",0.000467037779041565,0.00468792545263398,0.00305343531232225,"BCL2/CALM2/GSTM2",3
"1_8.AMP","1_8","AMP","BP","GO:0071731","response to nitric oxide","3/146","19/17913",0.000467037779041565,0.00468792545263398,0.00305343531232225,"CDK2/EGLN1/HNRNPD",3
"1_8.AMP","1_8","AMP","BP","GO:0051052","regulation of DNA metabolic process","11/146","403/17913",0.000472446769906973,0.00472855225327642,0.00307989718953462,"CDK2/HMGA2/HMGB1/HNRNPD/IL10/JUN/PCNA/RPS3/TERF1/TERF2/TWIST1",11
"1_8.AMP","1_8","AMP","BP","GO:0070302","regulation of stress-activated protein kinase signaling cascade","8/146","222/17913",0.000478011036961739,0.0047704952050808,0.0031072163291917,"ARL6IP5/GADD45A/HMGB1/PBK/PYCARD/RPS3/SDCBP/TNF",8
"1_8.AMP","1_8","AMP","BP","GO:0072604","interleukin-6 secretion","4/146","45/17913",0.000486707520930738,0.00484336739310159,0.00315468093041821,"HMGB1/PYCARD/TNF/TWIST1",4
"1_8.AMP","1_8","AMP","BP","GO:0034763","negative regulation of transmembrane transport","6/146","122/17913",0.000492161574199169,0.00487245792424759,0.00317362876906302,"ARL6IP5/CALM2/CAV1/GSTM2/TNF/TWIST1",6
"1_8.AMP","1_8","AMP","BP","GO:1903320","regulation of protein modification by small protein conjugation or removal","8/146","223/17913",0.000492436720820877,0.00487245792424759,0.00317362876906302,"ATG5/CAMLG/CAV1/HSPA1A/ISG15/PARK7/RPS3/SOX4",8
"1_8.AMP","1_8","AMP","BP","GO:1903363","negative regulation of cellular protein catabolic process","5/146","80/17913",0.000494086334980938,0.00487489159485453,0.00317521391708742,"CAMLG/PARK7/PBK/RYBP/SDCBP",5
"1_8.AMP","1_8","AMP","BP","GO:0043433","negative regulation of DNA-binding transcription factor activity","7/146","171/17913",0.000509511925352696,0.00501284678965981,0.0032650697109973,"CTNNBIP1/EGLN1/HMOX1/ID1/IL10/PYCARD/TWIST1",7
"1_8.AMP","1_8","AMP","BP","GO:0031638","zymogen activation","4/146","46/17913",0.000529710940376312,0.00518221435472375,0.00337538565120443,"BAD/BAK1/FADD/PYCARD",4
"1_8.AMP","1_8","AMP","BP","GO:0090199","regulation of release of cytochrome c from mitochondria","4/146","46/17913",0.000529710940376312,0.00518221435472375,0.00337538565120443,"BAD/BAK1/BCL2L1/PYCARD",4
"1_8.AMP","1_8","AMP","BP","GO:0042177","negative regulation of protein catabolic process","6/146","124/17913",0.000536534482487213,0.00521956374699745,0.00339971281988802,"CAMLG/IL10/PARK7/PBK/RYBP/SDCBP",6
"1_8.AMP","1_8","AMP","BP","GO:0046330","positive regulation of JNK cascade","6/146","124/17913",0.000536534482487213,0.00521956374699745,0.00339971281988802,"GADD45A/HMGB1/PYCARD/RPS3/SDCBP/TNF",6
"1_8.AMP","1_8","AMP","BP","GO:0002374","cytokine secretion involved in immune response","3/146","20/17913",0.000546184958236209,0.00526916766653987,0.00343202185745501,"ATG5/IL10/TNF",3
"1_8.AMP","1_8","AMP","BP","GO:0045655","regulation of monocyte differentiation","3/146","20/17913",0.000546184958236209,0.00526916766653987,0.00343202185745501,"CDK6/CTNNBIP1/JUN",3
"1_8.AMP","1_8","AMP","BP","GO:1902236","negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","3/146","20/17913",0.000546184958236209,0.00526916766653987,0.00343202185745501,"BCL2L1/HSPA1A/PARK7",3
"1_8.AMP","1_8","AMP","BP","GO:0050671","positive regulation of lymphocyte proliferation","6/146","125/17913",0.00055985648522502,0.0053712198154323,0.00349849254652099,"BCL2/FADD/HLA-DPB1/HMGB1/PYCARD/RPS3",6
"1_8.AMP","1_8","AMP","BP","GO:2001251","negative regulation of chromosome organization","6/146","125/17913",0.00055985648522502,0.0053712198154323,0.00349849254652099,"ATG5/SET/SKI/TERF1/TERF2/TWIST1",6
"1_8.AMP","1_8","AMP","BP","GO:0035722","interleukin-12-mediated signaling pathway","4/146","47/17913",0.000575348979121182,0.00550464739528337,0.0035853993218252,"CDC42/IL10/RAP1B/SOD2",4
"1_8.AMP","1_8","AMP","BP","GO:0032946","positive regulation of mononuclear cell proliferation","6/146","126/17913",0.000583959034715128,0.00550784929085919,0.00358748484582006,"BCL2/FADD/HLA-DPB1/HMGB1/PYCARD/RPS3",6
"1_8.AMP","1_8","AMP","BP","GO:0051592","response to calcium ion","6/146","126/17913",0.000583959034715128,0.00550784929085919,0.00358748484582006,"BAD/CALM2/CAV1/HNRNPD/JUN/JUND",6
"1_8.AMP","1_8","AMP","BP","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","5/146","83/17913",0.000585199075245333,0.00550784929085919,0.00358748484582006,"CCND3/CDKN1B/CDKN2C/GADD45A/HEXIM1",5
"1_8.AMP","1_8","AMP","BP","GO:0002718","regulation of cytokine production involved in immune response","5/146","83/17913",0.000585199075245333,0.00550784929085919,0.00358748484582006,"ATG5/BST2/HMOX1/IL10/TNF",5
"1_8.AMP","1_8","AMP","BP","GO:0010507","negative regulation of autophagy","5/146","83/17913",0.000585199075245333,0.00550784929085919,0.00358748484582006,"BCL2/HMOX1/HTRA2/IL10/NAMPT",5
"1_8.AMP","1_8","AMP","BP","GO:1905897","regulation of response to endoplasmic reticulum stress","5/146","83/17913",0.000585199075245333,0.00550784929085919,0.00358748484582006,"BAK1/BCL2L1/CAV1/HSPA1A/PARK7",5
"1_8.AMP","1_8","AMP","BP","GO:0001776","leukocyte homeostasis","5/146","84/17913",0.000618202869804868,0.00578711203997926,0.00376937996087576,"BAK1/BCL2/FADD/HMGB1/RPS6",5
"1_8.AMP","1_8","AMP","BP","GO:0090559","regulation of membrane permeability","5/146","84/17913",0.000618202869804868,0.00578711203997926,0.00376937996087576,"BAD/BAK1/BCL2/BCL2L1/HSPA1A",5
"1_8.AMP","1_8","AMP","BP","GO:0043392","negative regulation of DNA binding","4/146","48/17913",0.000623711236709949,0.00580737030856207,0.00378257498995254,"CTNNBIP1/HMGA2/HMOX1/JUN",4
"1_8.AMP","1_8","AMP","BP","GO:1905268","negative regulation of chromatin organization","4/146","48/17913",0.000623711236709949,0.00580737030856207,0.00378257498995254,"ATG5/SET/SKI/TWIST1",4
"1_8.AMP","1_8","AMP","BP","GO:0001818","negative regulation of cytokine production","9/146","290/17913",0.000630494936438446,0.00585483666911958,0.00381349174896206,"BST2/HMGB1/HMOX1/IL10/ISG15/PYCARD/TNF/TWIST1/TWSG1",9
"1_8.AMP","1_8","AMP","BP","GO:0032355","response to estradiol","6/146","128/17913",0.000634577477397925,0.00586140313564626,0.00381776875399816,"BAD/CDKN1B/HNRNPD/IL10/NQO1/PCNA",6
"1_8.AMP","1_8","AMP","BP","GO:0070972","protein localization to endoplasmic reticulum","6/146","128/17913",0.000634577477397925,0.00586140313564626,0.00381776875399816,"RPL23A/RPL8/RPS27/RPS3/RPS6/RPSA",6
"1_8.AMP","1_8","AMP","BP","GO:0097305","response to alcohol","8/146","232/17913",0.000638854796979253,0.00586968970875382,0.00382316613396941,"BAD/BAK1/BCL2L1/EIF4EBP1/GNG2/HNRNPD/NQO1/TYMS",8
"1_8.AMP","1_8","AMP","BP","GO:1904018","positive regulation of vasculature development","8/146","232/17913",0.000638854796979253,0.00586968970875382,0.00382316613396941,"HMGA2/HMOX1/HSPB1/IL10/RHOB/S100A1/SOD2/TWIST1",8
"1_8.AMP","1_8","AMP","BP","GO:0061013","regulation of mRNA catabolic process","7/146","178/17913",0.000646851921577083,0.00591188611483476,0.00385065035864031,"HNRNPD/HSPA1A/HSPB1/PSMB9/PSMD9/SET/YBX1",7
"1_8.AMP","1_8","AMP","BP","GO:0061138","morphogenesis of a branching epithelium","7/146","178/17913",0.000646851921577083,0.00591188611483476,0.00385065035864031,"BCL2/CTNNBIP1/GNA13/HOXB7/IL10/SNAI2/TNF",7
"1_8.AMP","1_8","AMP","BP","GO:1903901","negative regulation of viral life cycle","5/146","85/17913",0.000652582794314234,0.00594860904108486,0.00387456948468376,"BST2/HMGA2/ISG15/TNF/TRIM13",5
"1_8.AMP","1_8","AMP","BP","GO:0071560","cellular response to transforming growth factor beta stimulus","8/146","233/17913",0.000657088123043228,0.0059739975165684,0.00389110602485505,"CAV1/HSPA1A/ID1/ING2/JUN/SDCBP/SKI/TWSG1",8
"1_8.AMP","1_8","AMP","BP","GO:0071349","cellular response to interleukin-12","4/146","49/17913",0.000674887610102737,0.00609569657944911,0.00397037354304216,"CDC42/IL10/RAP1B/SOD2",4
"1_8.AMP","1_8","AMP","BP","GO:1904707","positive regulation of vascular smooth muscle cell proliferation","4/146","49/17913",0.000674887610102737,0.00609569657944911,0.00397037354304216,"IL10/JUN/NQO2/TNF",4
"1_8.AMP","1_8","AMP","BP","GO:0030217","T cell differentiation","8/146","234/17913",0.000675739471087794,0.00609569657944911,0.00397037354304216,"ATG5/BAD/BCL2/CDK6/FADD/HMGB1/RPS6/SOX4",8
"1_8.AMP","1_8","AMP","BP","GO:0032271","regulation of protein polymerization","7/146","180/17913",0.000691051285811766,0.00621767128400069,0.00404982059778971,"ARF6/CDKN1B/FKBP4/HSPA1A/PYCARD/RPS3/STMN1",7
"1_8.AMP","1_8","AMP","BP","GO:1905330","regulation of morphogenesis of an epithelium","7/146","181/17913",0.000714031235268142,0.00640783069789731,0.00417367910945529,"CDC42/CTHRC1/HOXB7/PSMB9/PSMD9/SNAI2/TNF",7
"1_8.AMP","1_8","AMP","BP","GO:1904029","regulation of cyclin-dependent protein kinase activity","5/146","87/17913",0.000725616586182811,0.00647589518976905,0.0042180122638743,"CCND3/CDKN1B/CDKN2C/GADD45A/HEXIM1",5
"1_8.AMP","1_8","AMP","BP","GO:0014009","glial cell proliferation","4/146","50/17913",0.000728968244429341,0.00647589518976905,0.0042180122638743,"CERS2/SKI/SOX4/TNF",4
"1_8.AMP","1_8","AMP","BP","GO:0070671","response to interleukin-12","4/146","50/17913",0.000728968244429341,0.00647589518976905,0.0042180122638743,"CDC42/IL10/RAP1B/SOD2",4
"1_8.AMP","1_8","AMP","BP","GO:0051000","positive regulation of nitric-oxide synthase activity","3/146","22/17913",0.000729074292887906,0.00647589518976905,0.0042180122638743,"S100A1/TERF2/TNF",3
"1_8.AMP","1_8","AMP","BP","GO:1901342","regulation of vasculature development","11/146","425/17913",0.000733483005446395,0.00649843489264115,0.00423269328330909,"EGLN1/HMGA2/HMOX1/HSPB1/ID1/IL10/RHOB/RNH1/S100A1/SOD2/TWIST1",11
"1_8.AMP","1_8","AMP","BP","GO:0043901","negative regulation of multi-organism process","7/146","182/17913",0.000737612754198332,0.00651839464460765,0.00424569387644895,"BST2/HMGA2/IL10/ISG15/JUN/TNF/TRIM13",7
"1_8.AMP","1_8","AMP","BP","GO:0071559","response to transforming growth factor beta","8/146","239/17913",0.00077551570219833,0.00681405247510558,0.00443826777062206,"CAV1/HSPA1A/ID1/ING2/JUN/SDCBP/SKI/TWSG1",8
"1_8.AMP","1_8","AMP","BP","GO:0000077","DNA damage checkpoint","6/146","133/17913",0.000776057825711491,0.00681405247510558,0.00443826777062206,"CDK2/CDKN1B/GADD45A/HMGA2/PCNA/SOX4",6
"1_8.AMP","1_8","AMP","BP","GO:1901990","regulation of mitotic cell cycle phase transition","11/146","428/17913",0.00077695501875664,0.00681405247510558,0.00443826777062206,"BCL2/CDK2/CDK6/CDKN1B/CDKN2C/GADD45A/HMGA2/PCNA/PSMB9/PSMD9/SOX4",11
"1_8.AMP","1_8","AMP","BP","GO:0035065","regulation of histone acetylation","4/146","51/17913",0.000786043484995645,0.00687639552491153,0.00447887431858847,"ATG5/SET/SNAI2/TWIST1",4
"1_8.AMP","1_8","AMP","BP","GO:0016055","Wnt signaling pathway","12/146","498/17913",0.000791050480374189,0.00689302135298237,0.00448970339235277,"CAV1/CDC42/CTHRC1/CTNNBIP1/GNG2/IGFBP4/PSMB9/PSMD9/RAB5A/SKI/SNAI2/SOX4",12
"1_8.AMP","1_8","AMP","BP","GO:0061458","reproductive system development","11/146","429/17913",0.000791913481094145,0.00689302135298237,0.00448970339235277,"BAK1/BCL2/BCL2L1/CDKN1B/CEBPB/EGLN1/FKBP4/IL10/ING2/NDUFS6/RPS6",11
"1_8.AMP","1_8","AMP","BP","GO:0043410","positive regulation of MAPK cascade","12/146","499/17913",0.000804948575563656,0.00698896600733144,0.00455219602338499,"ARL6IP5/GADD45A/HMGB1/IGFBP4/JUN/MAP3K14/NQO2/PYCARD/RAP1B/RPS3/SDCBP/TNF",12
"1_8.AMP","1_8","AMP","BP","GO:0002703","regulation of leukocyte mediated immunity","7/146","185/17913",0.000812079060857922,0.00701579745860587,0.00456967243200752,"BST2/FADD/HMGB1/HMOX1/IL10/PVR/TNF",7
"1_8.AMP","1_8","AMP","BP","GO:1902905","positive regulation of supramolecular fiber organization","7/146","185/17913",0.000812079060857922,0.00701579745860587,0.00456967243200752,"ARF6/CDC42/CDKN1B/HSPA1A/ID1/PYCARD/RPS3",7
"1_8.AMP","1_8","AMP","BP","GO:0006605","protein targeting","10/146","364/17913",0.000814213707217452,0.007016784628204,0.00457031541546377,"AMACR/HTRA2/RAB7A/RPL23A/RPL8/RPS27/RPS3/RPS6/RPSA/SDCBP",10
"1_8.AMP","1_8","AMP","BP","GO:0042180","cellular ketone metabolic process","8/146","241/17913",0.000818604392347251,0.00702361161617145,0.00457476210864335,"CAV1/GLO1/NQO1/PARK7/PSMB9/PSMD9/TPI1/TWIST1",8
"1_8.AMP","1_8","AMP","BP","GO:0198738","cell-cell signaling by wnt","12/146","500/17913",0.000819050591577725,0.00702361161617145,0.00457476210864335,"CAV1/CDC42/CTHRC1/CTNNBIP1/GNG2/IGFBP4/PSMB9/PSMD9/RAB5A/SKI/SNAI2/SOX4",12
"1_8.AMP","1_8","AMP","BP","GO:0051353","positive regulation of oxidoreductase activity","4/146","52/17913",0.000846203830520341,0.00720482437777288,0.00469279330408533,"PARK7/S100A1/TERF2/TNF",4
"1_8.AMP","1_8","AMP","BP","GO:0097345","mitochondrial outer membrane permeabilization","4/146","52/17913",0.000846203830520341,0.00720482437777288,0.00469279330408533,"BAD/BAK1/BCL2/HSPA1A",4
"1_8.AMP","1_8","AMP","BP","GO:0042102","positive regulation of T cell proliferation","5/146","90/17913",0.000846406088721951,0.00720482437777288,0.00469279330408533,"FADD/HLA-DPB1/HMGB1/PYCARD/RPS3",5
"1_8.AMP","1_8","AMP","BP","GO:0016233","telomere capping","4/146","53/17913",0.000909539887580369,0.00772330569576191,0.00503050114119216,"HIST1H4J/HNRNPD/TERF1/TERF2",4
"1_8.AMP","1_8","AMP","BP","GO:0002861","regulation of inflammatory response to antigenic stimulus","3/146","24/17913",0.000946850922762541,0.00796225969674166,0.00518614153948439,"IL10/PARK7/TNF",3
